File,BGbase,Color_change,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/pbg_bu_5.png,images/pbg_bu_0.png,160.0,right,0,0,0,5,right,1,1.4266257999988738,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_12.png,images/pbg_bu_0.png,174.0,right,0,1,1,12,right,1,1.052098100015428,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_9.png,images/pbg_bu_0.png,168.0,up,0,2,2,9,up,1,1.1211359999724664,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_6.png,images/pbg_bu_0.png,162.0,down,0,3,3,6,down,1,1.0937546000059228,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_10.png,images/pbg_bu_0.png,170.0,up,0,4,4,10,up,1,0.8847066000162158,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_8.png,images/pbg_bu_0.png,166.0,down,0,5,5,8,down,1,1.0395499000151176,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_4.png,images/pbg_bu_0.png,158.0,right,0,6,6,4,right,1,1.053152799984673,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_2.png,images/pbg_bu_0.png,154.0,up,0,7,7,2,a,0,7.126056700013578,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_11.png,images/pbg_bu_0.png,172.0,right,0,8,8,11,right,1,1.0787457999831531,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_0.png,images/pbg_bu_0.png,150.0,right,0,9,9,0,right,1,2.513358399999561,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_13.png,images/pbg_bu_0.png,176.0,right,0,10,10,13,right,1,1.7970173000067007,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_3.png,images/pbg_bu_0.png,156.0,right,0,11,11,3,a,0,2.420353099994827,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_7.png,images/pbg_bu_0.png,164.0,right,0,12,12,7,right,1,1.3775651999749243,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_1.png,images/pbg_bu_0.png,152.0,down,0,13,13,1,a,0,2.422720800008392,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
images/pbg_bu_14.png,images/pbg_bu_0.png,178.0,right,0,14,14,14,right,1,1.5698447999893688,sahil_b,001,2020_Dec_09_1502,hue_diff,2020.2.10,60.07409539397417,
